abort	stdlib.h, process.h	void abort(void)	프로그램을 종료하되 비정상적으로 종료한다.
matherr	math.h	int matherr(struct exception* e)	matherr함수는 수학 라이브러리 함수 실행 중 에러가 발생했을 경우 호출되는 함수이다.
max	stdlib.h	(type) max(a, b)	두 값 중 큰 값을 리턴한다.
memchr	stinrg.h, math.h	void* memchr(const void* s, int c,  size_t n)	s가 포인트하는 메모리부터 n바이트 내의 메모리 블록까지에서 문자 c를 찾는다.
memcmp	memory.h	int memcmp(const void* sl, const void* s2, size_t n)	두 개의 메모리 블록을 비교한다. 이때 비교되는 값들은 부호 없는 값으로 처리된다.
memcpy	memory.h	void* memcpy(void* deset, const void* src, size_t n)	메모리끼리 복사한다. Src번지에 있는 데이터를 dest가 지정하는 번지로 n바이트만큼 복사한다.
memicmp	memory.h	int memicmp(const void* sl, const void* s2, size_t n)	두 개의 메모리 블록을 비교한다. 이때 비교되는 값들은 부호 없는 값으로 처리된다.
memmove	string.h, memory.h	void* memmove(void* dest, const void* src, size_t n)	메모리끼리 복사한다. Src번지에 있는 데이터를 dest가 지정하는 번지로 n바이트만큼 복사한다.
memset	memory.h	void* memset(void* s, int c, size_t n)	s가 포인트하는 메모리를 값 c로 n개를 채운다.
min	stdlib.h	(type) min(a,b)	두 값 중 작은 값을 리턴한다.
mkdir	dir.h	int mkdir(const char* path)	새로운 디렉토리를 인수로 주어진 패스로 생성한다. 도스의 md명령어와 사용법이 동일하다.
MK_FP	dos.h	void* MK_FP(unsinged seg, unsigned ofs)	주어진 오프셋과 세그먼트를 사용하여 far 포인터를 생성한다.
mktemp	dir.h	char* mktemp(char* template)	임시 파일로 사용할 수 있는 파일의 이름을 만든다.
modf	math.h	double modf(double x, double* ipart)	실수 x를 분해하여 정수부와 실수부로 나눈다.
movedata	memory.h	void movedata(unsinged srcseg, unsigned srcoff, unsinged dstseg, unsinged dstoff, size_t n)	movedata는 src에서 dest로 n바이트를 복사한다.
moverel	graphics.h	void moverel(int x, int y)	현재 CP에서 상대적 좌표값으로 이동한다.
movetext	conio.h	int movetext(int left, int top, int right, int bottom, int destleft, int desttop)	화면상의 지정한 사각 영역에 있는 문자들을 다른 영역을 복사한다.
moveto	graphics.h	void moveto(int x, int y)	현재 CP를 (x, y) 위치로 이동 시킨다. 선을 그리지 않고 이동한다.
movmem	memory.h	void movmem(void* src, void* dest, unsinged length)	src에서 dest로 length만큼 복사를 한다.
norm	complex.h	double norm(complex x)	복소수의 절대값을 구한 후 제곱한 값을 구한다.
normvideo	conio.h	void normvideo(void)	현재 문자의 속성을 프로그램 실행 이전의 문자속성으로 되돌린다.
nosound	dos.h	void nosound(void)	PC 스피커의 소리를 끈다.
_open	io.h	int _open(const char* filename, int oflags)	핸들형 파일 입출력을 위해 파일을 개방한다.
open	io.h	open(const char* path, int access [, unsigned model])	path로 지정된 파일을 연다.
outport	dos.h	void outport(int portid, int value)	portid 포트로 2바이트를 출력한다.
outportb	dos.h	void outport(int portid, unsigned char value)	portid 포트로 1바이트를 출력한다.
outtext	graphics.h	void outtext(char* textstring)	그래픽 모드에서 문자열을 출력할 때 쓰인다.
outtextxy	graphics.h	void outtextxy(int x, int y, char* textstring)	그래픽 모드에서 문자열을 출력한다.
parsfnm	dos.h	char* parsfnm(const char* cmdline, struct* fcb, int opt)	인수로 주어진 cmdline에 있는 파일 이름을 분석하여 FCB에 드라이브명, 파일명, 확장명을 기입한다.
peek	dos.h	int peek(unsigned segment, unsigned offset)	segment, offset이 지정하는 번지의 값을 조사한다.
peekb	dos.h	int peekb(unsinged segment, unsinged offset)	segment, offset이 지정하는 번지의 값을 조사한다. 이때 조사되는 값은 8비트 즉 문자값이다.
perror	stdio.h	void perror(const char* s)	시스템 에러 메시지를 stderr으로 출력한다.
pieslice	graphics.h	void pieslice(int x, int y, int stangle, int endangle, int radius)	중심(x, y)에서 시작각(stangle), 끝각(endangle)을 지정하여 반지름의 원호를 그리고 원호의 양끝점과 중심을 연결해 내부를 채색한다.
poke	dos.h	void poke(unsinged segment, unsigned offset, int value)	segment, offset이 지정하는 메모리 번지에 16비트의 정수값을 기입해 넣는다.
pokeb	dos.h	void pokeb(unsinged segment, unsigned offset, char value)	segment, offset이 지정하는 메모리 번지에 8비트의 문자값을 기입해 넣는다.
polar	complex.h	complex polar(double mag, double angle)	주어진 크기와 각도를 가진 복소수를 만든다.
poly	math.h	double poly(double x, int degree, double coeffs[]	다항식을 계산한다.
pow	math.h	double pow(double x, double y)	x의 y승, 즉 xy을 계산한다.
pow10	math.h	double pow10(int p)	10p을 구한다.
printf	stdio.h	int printf(const char* format, [argument, …])	stdout에 형식화된 출력을 한다.
putc	stdio.h	int putc(int c, FILE* stream)	스트림으로 문자 c를 출력한다.
putch	conio.h	int putch(int c)	화면에 문자 c를 출력한다.
putchar	stdio.h	int putchar(int c)	화면에 문자 c를 출력한다.
putenv	stdlib.h	int putenv(const char* path)	도스의 환경 변수 영역에 새로운 환경 변수를 첨가한다.
putimage	graphics.h	void putimage(int left, int top, void* bitmap, int op)	화면에 이미지를 출력한다.
putpixel	graphics.h	void putpixel(int x, int y, int color)	(x, y) 좌표에 color색상으로 점을 찍는다.
puts	stdio.h	int puts(const char* s)	문자열을 화면으로 출력한다.
puttext	conio.h	int puttext(int left, int top, int right, int bottom, void* source)	source가 포인트하는 메모리 영역에 저장되어 있는 문자들을 지시하는 화면상의 사각 영역에 출력한다.
putw	stdio.h	int putw(int w, FILE* stream)	스트림에 정수 w를 출력한다.
qsort	stdlib.h	void qsort(void* base, size_t nelem, size_t width, int (*fcmp)(const void*, const void*))	세 개의 값 중 중앙값을 찾는 quick sort 앨거리듬을 사용하여 정렬을 수행한다.
raise	signal.h	int raise(int sig)	프로그램으로 신호를 강제적으로 보낸다.
rand	stdlib.h	int rand(void)	예측할 수 없는 하나의 수를 만들어 낸다.
randbrd	dos.h	int randbrd(struct fcb* fcb, int rcnt)	FCB를 사용하여 현재 디스크의 DTA 영역으로 record를 인수 rcnt가 지정하는 개수만큼 읽어들인다.
randbwr	dos.h	int randbwr(struct fcb* fcb, int rcnt)	FCB를 사용하여 디스크 상에 인수 rcnt가 지정하는 개수만큼의 record를 기록한다.
random	stdlib.h	int random(int num)	0~num-1사이의 정수 난수를 발생시킨다.
randomize	stdlib.h, time.h	void randomize(void)	난수 발생기의 시작점을 초기화시켜 준다.
real	complex.h	double real(double x)	복소수의 실수부만을 구한다.
realloc	alloc.h	void* realloc(void* block, size_t size)	이미 할당되어 있는 메모리의 크기를 축소시키거나 확장시킨다.
rectangle	graphics.h	void rectangle(int left, int top, int right, int bottom)	사각형을 그린다.
registerbgidriver	graphics.h	int registerbgidriver(void(*driver)(void))	BGI드라이버 파일을 읽어와서 등록시킨다.
registerbgifont	graphics.h	int registerbgifont(void(*font)(void))	BGI 폰트를 읽어와서 등록시킨다.
remove	stdio.h	int remove(const char* filename)	파일을 삭제한다.
rename	stdio.h	int rename(const char* oldname, const char* newname)	파일의 이름을 바꾼다.
restorecrtmode	graphics.h	void restorecrtmode(void)	initgraph 호출 전의 비디오 모드, 즉 텍스트 모드로 복귀한다.
rewind	stdio.h	void rewind(FILE* stream)	스트림의 파일 포인터(FP)를 파일의 시작점으로 옮긴다.
rmdir	dir.h	int rmdir(const char* path)	path 인수가 지정하는 디렉토리를 제거한다.
sbrk	alloc.h	void* sbrk(int incr)	이 함수를 호출한 프로그램의 heap크기를 바꾼다.
scanf	stdio.h	int scanf(const char* format [, address …])	형식화된 입력을 키보드로부터 받는다.
searchpath	dir.h	char* searchpath(const char* file)	인수로 주어진 file이 있는 디렉토리를 조사해준다.
sector	graphics.h	void sector(int x, int y, int stangle, int endangle, int xradius, int yradius)	중심(x, y)에서 시작각(stangle), 끝각(endangle)을 지정하여 반지름의 타원호를 그린다.
segread	dos.h	void segread(struct SREGS* segp)	세그먼트 레지스터의 현재값을 조사하여 segp 구조체에 저장한다.
setactivepage	graphics.h	void setactivepage(int page)	active page를 설정한다.
setallpalette	graphics.h	void setallpalette(struct palettetype *palette)	setallpalette는 팔레트 포인터가 가리키는 palettetype의 구조체에 들어 있는 값으로 현재 팔레트를 변경한다
setaspectratio	graphics.h	void setaspectratio(int xasp, int yasp)	그래픽 시스템의 원종횡비(aspect ratio)를 맞추어 준다.
setbkcolor	graphics.h	void setbkcolor(int color)	현재의 배경색을 color로 설정한다. Color는 다음 표에서와 같은 색상을 의미한다.
setblock	dos.h	int setblock(unsigned segx, unsigned newsize)	이전에 할당된 블록의 크기를 변경시킨다.
setbuf	stdio.h	void setbuf(FILE *stream, char *buf)	스트림이 오픈될 때 버퍼가 자동으로 512바이트 크기로 할당되며 close 할 때 할당된 버퍼는 자동으로 해제된다.
setcbrk	dos.h	int setcbrk(int cbrkvalue)	Crtl-Break에 대한 체크 상태를 설정한다.
setcolor	graphics.h	void setcolor(int color)	현재의 전경색을 지정한다. 지정 가능한 색상의 수는 0~getmaxcolor() 사이의 정수이다.
_setcursortype	conio.h	void_setcursortype(int cur_t)	커서의 모양을 바꾼다.
setdate	dos.h	void setdate(struct date *datep)	datep 구조체를 참조해 시스템의 날짜를 세팅한다.
setdisk	dir.h	int setdish(int drive)	드라이브를 변경시킨다.
setdta	dos.h	void setdta(char *dta)	인수로 주어진 dta로 현재 디스크 전송 주소를 변경시킨다.
setfillpattern	graphics.h	void setfillpattern(char *upattern, int color)	사용자가 지정한 무늬와 색상으로 채움 무늬를 설정한다.
setfillstyle	graphics.h	void setfillstyle(int parttern, int color)	채색 무늬와 색상을 지정한다.
setftime	io.h	int setftime(int handle, struct ftime *ftimep)	오픈된 파일의 시간과 날짜를 ftime형 구조체가 가리키는 시간과 날짜로 설정한다.
setgraphbufsize	graphics.h	unsigned setgraphbufsize(unsigned bufsize)	initgraph가 그래픽 시스템을 초기화할때 얼마간의 버퍼를 할당해 두고 closegraph는 이 버퍼를 할당해제한다.
setgraphmode	graphics.h	void setgraphmode(int mode)	그래픽 모드를 설정한다.
setjmp	setjmp.h	int setjmp(jmp_bufjmpb)	비지역적 jump를 위한 준비를 하며 현재의 모든 작업 상태를 jmpb에 저장해 둔 후 0을 리턴한다.
setlinestyle	graphics.h	void setlinestyle(int linestyle, unsigned upattern, int thickness)	선의 굵기와 모양을 지정한다.
setlocale	locale.h	char *setlocale(int category, char *locale)	국가마다 다른 화폐기호나 날짜 형식을 지정하는 locale 구조체를 설정한다.
setmem	mem.h	void setmem(void *dest, unsigned length, char value)	dest에서 시작되고 length의 길이를 가지는 메모리의 일정영역을 value 값으로 모두 채운다.
setmode	io.h	int setmode(int handle, int amode)	오픈된 파일의 액세스 모드를 설정한다.
setpalette	graphics.h	void setpalette(int colornum, int color)	colornum이 지정하는 팔레트의 색상을 color로 바꾼다.
setrgbpalette	graphics.h	void setrgbpalette(int colornum, int red, int green, int blue)	IBM 8514드라이버와 VGA에서 사용하는 팔레트 setting 함수로 RGB 삼원색의 조합으로 색상을 지정할 수 있다.
settextjustify	graphics.h	void settextjustify(int horiz, int vert)	outtext, outtextxy 등에서 출력하는 문자열의 좌표 정렬 방식을 지정한다.
settextstyle	graphics.h	void settextstyle(int font, int dirction, int charsize)	outtext, outtextxy 함수에서 문자열 출력에 사용할 폰트, 크기 및 방향을 지정한다.
settime	dos.h	void settime(struct time *timep)	timep형 구조체에 지정되어 있는 시간 정보로 시스템의 시간을 설정한다.
setusercharsize	graphics.h	void setusercharsized(int multx, int divx, int multy, int divy)	글자 크기를 사용자 임의의 크기로 만든다.
setvbuf	stdio.h	int setvbuf(FILE *stream, char *buf, int type, size_t size)	스트림이 오픈될 때 버퍼는 자동으로 512바이트의 크기로 할당되어지며 close될 때 할당된 버퍼는 자동으로 해제된다.
setvect	dos.h	void setvect(int interruptno, void interrupt(*isr))	interruptno가 지정하는 인터럽트의 시작 번지를 두 번째 인수 isr의 번지로 설정한다.
setverify	dos.h	void setverify(int value)	도스의 verify flag 상태를 설정한다.
setviewport	graphics.h	void setviewport(int left, int top, int right, int bottom, int clip)	새로운 뷰포트를 지정한다.
setvisualpage	graphics.h	void setvisualpage(int page)	비주얼 페이지를 설정한다.
setwritemode	graphics.h	void setwritemode(int mode)	그래픽 출력 함수가 화면에 작도를 하는 방법을 설정한다.
signal	signal.h	void (*signal(int sig, void (*func)(int sig [, int subcode])))(int)	signal이란 예외 상황이 발생하거나 raise 함수가 호출될 때 프로그램으로 보내지는 신호를 말한다.
sin	math.h	double sin(double x)	삼각 함수 sin을 계산한다.
sinh	math.h	double sinh(double x)	쌍곡선 sinh 함수값을 계산한다.
sleep	dos.h	void sleep(unsigned seconds)	second 인수가 지정하는 만큼 초단위로 지연이 되며 지연시간은 아주 정확하다.
sopen	io.h	int sopen(char *path, int access, int shflags, int mode)	path가 지정하는 파일을 오픈하며 공유 파일을 읽고 쓸 준비를 한다.
sound	dos.h	void sound(unsigned frequency)	인수 frequency로 주어진 주파수로 pc의 스피커를 작동시킨다.
spawn	process.h	int spownl(int mode, char *path, char *arg0, … , NULL)	모 프로그램을 끝내지 않고 child 프로그램을 실행시킨다.
sprintf	stdio.h	int sprintf(char *buffer, const char *format, [,argument,…])	printf문과 마찬가지로 형식화된 출력을 한다.
sqrt	math.h	double sqrt(double x)	x의 양의 제곱근을 계산한다.
srand	stdlib.h	void srand(unsigned seed)	난수 발생기는 예측할 수 없는 수를 발생시키기는 하나 항상 발생되는 수가 일정하다.
sscanf	stdio.h	int sscanf(const char *buffer, const char *format, [,address…])	scanf의 기능과 유사하되 입력을 stdin로부터 직접 받지 않고 문자열에서 받는다.
stat	sys\stat.h	int stat (char *path, struct stat, *statbuf)	path가 지정하는 파일에 관한 정보를 조사하여 statbuf에 저장한다.
stime	time.h	int stime(time_t *tp)	시스템의 시간과 날짜를 한꺼번에 바꾸어 준다.
stpcpy	string.h	char *stpcpy(char *dest, const char *src)	문자열 src를 문자배열 dest로 복사한다.
strcat	string.h	char *strcat(char *dest, const char *src)	문자열끼리 연결한다.
strchr	string.h	char *strchar(const *s, int c)	문자 배열 s내에 문자 c가 있는지 검사하고 있을 경우 문자 c가 있는 번지를 리턴한다.
strcmp	string.h	int strcmp(const char *s1 , const char *s2)	두 개의 문자열을 대소 비교한다.
strcmpi	string.h	int strcmpi(const char *s1, const char *s2)	두 개의 문자열을 대소 비교한다. Strcmpi는 대문자와 소문자를 구분하지 않는다.
strcoll	string.h	int strcoll(char *s1, char *s2)	setlocale 함수에 의해 지정된 비교방식에 따라 두개의 문자열을 비교 한다.
strcpy	string.h	char *strcpy(char *dest, const char *src)	문자열 src를 문자 배열 dest로 복사한다.
strcspn	string.h	size_t strcspn(const char *s1, const char *s2)	문자열 s1 중에 문자열 s2에 들어 있지 않은 문자들이 연속해 있는 길이를 구한다.
strdup	string.h	char *strdup(const char*s)	새로운 메모리를 할당하고 문자열 s를 복사한 후 그 포인터를 리턴한다.
strerror	stdio.h	char *strerror(int errnum)	errnum에 해당하는 에러 메시지 문자열을 만든다.
stricmp	string.h	int stricmp(const char *s1, const char *s2)	두 개의 문자열을 대소 비교한다.
strlen	string.h	size_t strlen(const char*s)	문자열 s의 길이를 계산한다.
strlwr	string.h	char *strlwr(char*s)	문자열 s내에 대문자 (A~Z)를 소문자 (a~z)로 변경한다.
strncat	string.h	char *strncat(char *dest, const char*src, size_t maxlen)	문자열끼리 지정한 길이만큼 덧붙인다.
strncmp	string.h	int strncmpi(const char *s1, const char*s2, size_t maxlen)	두 개의 문자열을 대소 비교한다.
strncmpi	string.h	int strncmpi(const char *s1, const char *s2, size_t maxlen)	두 개의 문자
strncpy	string.h	char *strncpy(char*dest, char*src, size_t maxlen)	문자열을 정해진 길이만큼 복사한다.
strnicmp	string.h	int strnicmp(const char*s1, const char*s2, size_t maxlen)	두 개의 문자열을 대소 비교한다.
strset	string.h	char*strset(char *s, int ch)	문자열을 특정 문자로 채운다.
strpbrk	string.h	char *strpbrk(const char*s1, const char*s2)	문자열 s1내에 문자열 s2에 있는 문자 중의 하나라도 있는지 검사하고 있을 경우 그 포인터를 리턴한다.
strrchr	string.h	char *strrchr(const char*s, int c)	문자 배열 s내에 문자 c가 있는지 검사하고 있을 경우 문자 c가 있는 번지를 리턴한다.
strrev	string.h	char *strrev(char *s)	문자열의 순서를 바꾼다.
strspn	string.h	size_t strspn(const char *s1, const *s2)	문자열 s1 중에서 문자열 s2에 있는 문자들이 연속해 있는 길이를 구한다.
strstr	string.h	char *strstr(const char *s1, const char *s2)	문자열 s1 내에서 문자열 s2가 포함되어 있는지 검사하고 만약 있다면 부분 문자열(substring)의 포인터를 리턴한다.
strtod	stdlib.h	double strtod(const char *s, char ** endptr)	문자열을 double형 부동 소수점으로 바꾼다.
strtok	string.h	char *strtok(char *s1, char *s2)	문자열에서 token을 찾아낸다.
strtol	stdlib.h	longstrtol(const char *s, char **endptr, int radix)	문자열을 long형 정수로 변환한다.
strtoul	string.h	unsigned long strtoul(const char *s, char **endptr, int radix)	문자열을 부호없는 long 형 정수로 바꾼다.
strupr	string.h	char *strupr(char*s)	문자열 s내의 소문자 (a~z)를 대문자 (A~Z)로 변경한다.
swab	stdlib.h	void swab (char *from, char *to, int nbytes)	두 개의 string끼리 복사를 하되 이때 from 에 있는 문자열의 상, 하위 바이트를 서로 교체하여 to 문자열로 복사한다.
system	process.h	int system(const char *command)	도스의 프롬프트상에서 실행할 수 있는 도스 명령(dir, copy 등의 내부 명령), batch 파일, 그외 실행 파일들은 도스 명령 해석기를 읽어 와서 실행시킨다.
tan	math.h	double tan (double x)	삼각함수 tangent를 계산한다.
tanh	math.h	double tanh(double x)	쌍곡선 tanh 함수값을 계산한다.
tell	io.h	long tell(int handle)	현재 파일 포인터를 조사한다.
textattr	conio.h	void textattr(int newattr)	출력한 문자의 속성을 설정한다.
textbackground	conio.h	void textbackground(int newcolor)	문자의 배경색을 지정한다.
textcolor	conio.h	void textcolor(int newcolor)	텍스트 모드에 전경생, 즉 문자의 생상을 변경시킨다.
textheight	graphics.h	int textheight(char *textstring)	문자열의 높이를 구한다.
textmode	conio.h	void textmode(int newmode)	텍스트 모드를 다른 모드로 바꾼다.
textwidth	graphics.h	int textwidth(char far *string)	string 의 넓이를 픽셀 단위로 계산한다.
time	time.h	time_t time(time_t *timer)	현재 시간을 조사한다.
tmpfile	stdio.h	FILE *tmpfile(void)	임시 파일로 사용될 파일을 만드는데 임시 파일의 성격상 이진 파일 모드와 쓰기 모드로 파일을 만든다.
tmpnam	stdio.h	char *tmpnam(char *sptr)	임시 파일로 사용할 수 있는 파일 이름을 만든다.
toascii	ctype.h	int toascii(int c)	c의 제7비트를 0으로 만들어 아스키 문자로 바꾸어 준다.
tolower	ctype.h	int tolower(int ch)	문자 ch가 A~Z사이의 문자일 경우 소문자 a~z로 바꾸어 준다.
toupper	ctype.h	int toupper(int ch)	문자 ch가 a~z사이의 문자일 경우 대문자 A~Z로 바꾸어 준다.
tzset	time.h	void tzset(void)	환경 변수 TZ에 기록되어 있는 전역 변수 timezone, daylight, tzname 을 새로운 값으로 설정한다.
ultoa	stdlib.h	char *ultoa(unsigned long value, char *string, int radix)	부호없는 long형 정수를 문자열로 바꾼다.
ungetc	stdio.h	int ungetc(int c, FILE *stream)	문자 c를 입력 스트림으로 다시 push한다.
ungetch	conio.h	int ungetch(int ch)	문자 ch를 키보드 버퍼로 push한다.
unixtodos	dos.h	void unixtodos(long time, struct date *d, struct dostime *t)	유닉스형의 날짜, 시간을 도스형으로 바꾸어 두 구조체에 세트한다.
unlink	io.h	int unlink(const char* filename)	파일을 삭제한다.
unlock	io.h	int unlock(int handle, long offset, long length)	lock 함수에 의해 설정된 lock을 제거한다.
wherex	conio.h	int wherex(void)	커서의 수평위치를 조사한다.
wherey	conio.h	int wherey(void)	커서의 수직 위치를 조사한다.
window	conio.h	void window(int left, int top, int right, int bottom)	텍스트 모드의 윈도우 영역을 정의한다.
write	io.h	int write(int handle, void *buf, unsigned len)	buf에 있는 데이터를 handle 이 지정하는 파일로 출력한다.
